"[39.070117, -89.850561]",State of depression,2019-12-04 17:07:22,Jasomnambulism human scum,b'RT @davidhogg111: We need less Donald Trump and more Professor Karlan in our government. \n\n https://t.co/zQoOOVliWq'
"[36.7014631, -118.7559974]","California, USA",2019-12-04 17:07:22,Kim Perales,"b'RT @girlsreallyrule: Prof. Pamela Karlan: ""The Constitution of the U.S. does not care whether the next president of the U.S. is Donald J. T\xe2\x80\xa6'"
"[40.737599, -73.254814]",Pacific Northwest,2019-12-04 17:07:21,Jenny,b'RT @skb_sara: Trump is from New York and isn\xe2\x80\x99t afraid and speaks his mind. Unlike #BitchBoy @JustinTrudeau who is afraid to say it to his f\xe2\x80\xa6'
"[35.5312452, -81.0297994]",Denver NC,2019-12-04 17:07:21,Kathie Stevenson 🌺,b'RT @Delavegalaw: Gerhardt: Trump has committed impeachable offense of obstruction of justice. Notes at least 5 instances in Mueller Report:\xe2\x80\xa6'
"[39.0840054, -77.1527573]","Rockville, MD",2019-12-04 17:07:21,Barry Jackson,"b'RT @ABCPolitics: Constitutional scholar Noah Feldman: ""The possibility that the president might get caught in the process of attempting to\xe2\x80\xa6'"
"[51.5073219, -0.1276474]",London ,2019-12-04 17:07:21,Anita Carnell,b'Boris Johnson was rude to Donald Trump he is now showing his real colours .. Macron and  co. Vote Brexit Party @we\xe2\x80\xa6 https://t.co/QAKxw23HPD'
"[37.413739, -118.609974]",Arizona/Central Calif,2019-12-04 17:07:21,Norma  Ramos,b'RT @ForTeague: #Patriots We have MORE POWER than even Pres.Trump!!  Contact your Congressmen to STOP this impeachment process &amp; BACK what P\xe2\x80\xa6'
"[45.496084, -62.7787413]","Rocklin, CA",2019-12-04 17:07:21,DEBRA LEE,b'@justtradin @TaoEssentials @elonmusk I was thinking of trump!\n=^.^='
"[40.9699889, -77.7278831]",Pennsylvania,2019-12-04 17:07:21,Regina Wilson,"b""Trump's 'bribery' has been 'worse than the misconduct of any prior president,' impeachment witness will testify\xe2\x80\xa6 https://t.co/uqMomqx5LJ"""
"[40.0796606, -89.4337288]",Illinois,2019-12-04 17:07:21,Nicie1,"b'RT @JohnTheWhite1: @NormEisen Ah this is the democrat clown leading the questioning of the democrat stooges today, another angry loon whose\xe2\x80\xa6'"
"[36.74612465, -76.6112468433743]","Suffolk, VA",2019-12-04 17:07:21,Samhain1313,"b'RT @realDailyWire: Trump says Trudeau is ""two-faced.""  \n\n...which isn\'t even the worst face that Trudeau has been accused of wearing... htt\xe2\x80\xa6'"
"[40.6501038, -73.9495823]","Brooklyn, NY",2019-12-04 17:07:21,Emma Chessen,b'So much going on and yet the Trump admin continues to find time to harm the most vulnerable https://t.co/jfZzm00yuN'
"[54.7023545, -3.2765753]",UK ,2019-12-04 17:07:21,Cavin Shakesheave,"b'RT @Reuters: \xe2\x80\x98It didn\xe2\x80\x99t start with Mueller, it didn\xe2\x80\x99t start with a phone call\xe2\x80\xa6 it started with tears in Brooklyn\xe2\x80\x99: Ranking member Collins s\xe2\x80\xa6'"
"[52.61713175, -1.10132823869151]",Outer Space,2019-12-04 17:07:21,T Good,"b'RT @natespuewell: Donald Trump is a loser, and as long as he is president, America is the loser.  https://t.co/EILlFM9XrU'"
"[41.8755616, -87.6244212]",Chicago,2019-12-04 17:07:21,DE3,b'RT @HillaryClinton: Every American should read the evidence for themselves in the House\xe2\x80\x99s impeachment inquiry report.\n\nIt catalogues \xe2\x80\x9ca mon\xe2\x80\xa6'
"[30.0046629, -97.6124989]","Lytton Springs, TX",2019-12-04 17:07:21,lashwr,"b'RT @funder: One thing is clear from this hearing: Trump should absolutely, without a doubt, be impeached and removed immediately. Trump has\xe2\x80\xa6'"
"[4.81804785, -75.6888617199333]",America,2019-12-04 17:07:21,D sheld⭐⭐⭐,"b""RT @RealSLokhova: ...Halper's 30 pieces of silver, or in this case, a million of taxpayer dollars, was paid from a CIA slush fund at Pentag\xe2\x80\xa6"""
"[44.9706705, -93.268217735811]","Minneapolis, MN",2019-12-04 17:07:21,Irene Sherman,b'RT @AndyOstroy: This should become the Democrats\xe2\x80\x99 mantra... #Trump #ImpeachmentHearings https://t.co/tBBTxhiRLH'
"[40.3270127, -86.1746933]", Indiana,2019-12-04 17:07:21,Leroy Sweeney,"b""RT @GOPLeader: Democrats still don't get it\xe2\x80\x94they are pushing ahead with impeachment based on opinions from liberal law professors from coas\xe2\x80\xa6"""
"[39.7837304, -100.4458825]",USA- USA,2019-12-04 17:07:21,KathyB🙏🏻🇺🇸,b'RT @seanmdav: A top Mueller source during the anti-Trump Russia probe -- a pedophile and child porn trafficker whom Mueller refused to arre\xe2\x80\xa6'
"[40.6501038, -73.9495823]","Brooklyn, NY",2019-12-04 17:07:21,Ken,"b'RT @kylegriffin1: EISEN: ""What\'s the danger if Congress does not respond to [Trump\'s] attempt?""\nKARLAN: ""Well, we\'ve already seen a little\xe2\x80\xa6'"
"[45.5202471, -122.6741949]",Portland Oregon,2019-12-04 17:07:21,Elizabeth Tierney,b'RT @H_MitchellPhoto: I cant wait to see Benedict Cumberbatch play .@NoahRFeldman in the tRump Impeachment movie.'
"[39.7837304, -100.4458825]",United States,2019-12-04 17:07:21,D33z,"b""RT @GOPLeader: Democrats still don't get it\xe2\x80\x94they are pushing ahead with impeachment based on opinions from liberal law professors from coas\xe2\x80\xa6"""
"[27.7567667, -81.4639835]","Florida, USA",2019-12-04 17:07:21,TrumpWatchdogNews,"b'RT @RonWyden: Just last week, the Treasury Department confirmed that President Trump pressed Secretary Mnuchin to intervene in sanctions po\xe2\x80\xa6'"
